Item,SKU,UPC,Unit Cost,Case Size
Ditto/Petroleum Jelly/(Compare To Vaseline) Original/12/13/oz,14367-35415,714367354149,1.8933,12
Keri/Lotion/Original (900ml)/4/31/oz,03160-24690,303160246906,7.995,4
Olay/Body Lotion/Day & Night Restoring Hydrating Fragrance Free wPump/12/18/oz,75609-21146,075609211461,3.6717,12
Olay/Body Lotion/Dryness Relief Hydrating Aloe Vera wPump/12/18/oz,75609-21157,075609211577,3.6717,12
Irish Spring/Soap/Icy Blast 3pk/18/3.75/oz,09546-69527,035000141255,1.8411,18
Old Spice/Bar Soap/Kittle Can Cook Aged Barrel/12/5/oz,12044-06811,012044068113,1.5675,12
Soft Soap/Liquid Hand Soap/Raspberry Vanilla wPump/6/7.5/oz,27854-02141,827854021414,0.7267,6
Soft Soap/Liquid Hand Soap/Holiday Cookie WPump/6/7.5/oz,27854-02136,827854021360,0.7267,6
Dove/Soap/Senstive Fragrance Free/90/1/oz,11111-61093,011111619999,0.18,90
Dial/Liquid Hand Soap Pump/Vanilla Creme & Soy Extract/12/7.5/oz,17000-09262,017000092614,1.3325,12
Old Spice/Bar Soap/Ceedee TD Winter Musk/12/5/oz,12044-06808,012044068083,1.5675,12
Yardley/Soap/Strawberry Cream/24/4/oz,41840-83272,041840832727,0.7892,24
Dove/Soap USA/Mens Deep Clean 6pk/12/3.75/oz,11111-01209,011111012097,6.3117,12
Irish Spring/Soap/Moisture Blast 8pk/4/3.7/oz,35000-99567,035000995674,6.8275,4
Dove/Soap USA/Mens Clean Comfort 6pk/12/3.75/oz,11111-40784,011111407848,6.3117,12
Dove/Soap USA/Gentle Exfoliating 6pk/12/3.75/oz,11111-61334,011111613348,6.3117,12
Irish Spring/Soap/Moisture Blast 3pk/8/3.7/oz,35000-14106,035000141064,1.7363,8
Dove/Soap USA/Mango & Almond Butter 6pk/12/3.75/oz,11111-01634,011111016347,6.3117,12
Safeguard/Soap/Arctic Fresh Extra Strong Cooling 3pk/32/2.9/oz,987176-251098,4987176251091,0.7891,32
Dove/Bar Soap/Refreshing/48/3.17/oz,12561-53801,8712561538077,0.7785,48
Dove/Bar Soap/Original/48/3.17/oz,00700-07000,8000700000005,0.7785,48
Dove/Soap USA/Sweet Cream & Peony 6pk/12/3.75/oz,11111-52905,011111529052,6.3117,12
Zest/Soap/Aqua 8pk/6/4/oz,16559-01009,816559010090,5.785,6
Zest/Soap/Soothing Aloe 8pk/6/4/oz,16559-01011,816559010113,5.785,6
Zest/Soap/Cocoa Butter 8pk/6/4/oz,16559-01251,816559012513,5.785,6
Olay/Soap/Outlast Ultra Moisture Shea Butter 6pk/8/3.75/oz,37000-94550,037000945505,4.9962,8
Yardley/Soap/Vitamin C 4pk/12/4/oz,41840-83258,041840832581,3.9883,12
Irish Spring/Soap/Deep Action Scrub Bath 3pk/18/3.75/oz,35000-14186,035000148940,1.8411,18
Dove/Soap USA/Coconut Milk 6pk/12/3.75/oz,11111-34786,011111347861,6.3117,12
Olay/Soap/Age Defy 8pk/4/3.75/oz,37000-67568,037000945550,6.29,4
Ditto/Liquid Hand Soap/(Compare To Dial) Tropical Coconut Water & Mango/12/13.5/oz,14367-35398,714367353999,1.0417,12
Dove/Bar Soap/Pink/48/3.17/oz,10447-28934,8710447289327,0.7785,48
Dove/Soap USA/Mens Sensitive Skin 6pk/12/3.75/oz,11111-05583,011111055834,6.3117,12
