Item,SKU,UPC,Unit Cost,Case Size
WALL MIRROR BASICS k g : P k g : L A BEL W/ CORNER L A BEL W/ CORNER,DM47774,0886466477736,0.6667,12
PF39144,PF39144,0886466391445,0.3333,12
FS34332,FS34332,0886466343314,15.0,1
FS34333,FS34333,0886466343321,15.0,1
FS34334,FS34334,0886466343338,15.0,1
FS47960,FS47960,0886466390974,1.3333,6
FS39093,FS39093,0886466390929,0.8333,6
10” CORNER FLOATING SHELF SHELF,FS39094,0886466390936,0.8333,6
HB MESH WASH BAG HANGABLE PVC W/INSERT,MB45663,0886466450708,3.0,1
HB 4 COMPARTMENT MESH WASH BAG HANGABLE PET BOX,MB45661,0886466456618,0.125,24
HB MESH LAUNDRY BAG HANGABLE PET BOX,LB45077,0886466522627,0.125,24
LH38051,LH38051,0886466450777,0.3333,24
BH10878,BH10878,0886466109361,6.5,1
HB BARREL LAUNDRY HAMPER HANGABLE PVC W/ CARD,BH10201,0886466108784,6.5,1
LH38349,LH38349,0886466383495,0.8333,12
LAUNDRY BASKET LABEL,LH38401,0886466476098,12.0,1
LH41821,LH41821,0886466384010,2.0,6
BH38422,BH38422,0886466384218,3.3333,6
BH38423,BH38423,0886466384225,3.3333,6
BH38424,BH38424,0886466384232,3.3333,6
BH45096,BH45096,0886466450982,15.0,1
BH45165,BH45165,0886466450968,15.0,1
BH45164,BH45164,0886466451644,2.5,6
BH45097,BH45097,0886466450975,2.5,6
LH38359,LH38359,0886466383570,2.0,6
LH38361,LH38361,0886466383600,12.0,1
LH38362,LH38362,0886466383617,2.0,6
LH38364,LH38364,0886466383631,2.0,6
LH38365,LH38365,0886466383648,2.0,6
IB41214,IB41214,0886466383419,2.0,6
IB37839,IB37839,0886466412140,2.0,6
IB37840,IB37840,0886466378392,2.0,6
IB01512,IB01512,0857198104146,4.0,3
HB MAGNETIC IRONING MAT BOARD W/COVER SHRINK WRAP W/ CARD,IB44382,0886466015129,0.8333,6
HB IRONING BOARD COVER,IB10404,0857198104047,0.5,12
CHAINLINK IRONING BOARD COVER PVC BAG W/ CARD,IB38268,0886466382689,0.6667,12
