UPC,Description,Unit Cost,Qty
041554082708,MAYBELLINE 2PK MASCARA BLACK #120,9.0,36
037000703082,CREST 3PK 33.8Z PRO HEALTH CLN MINT,10.5,3
4891080801665,LISTERINE 1 LITER M/W TOTAL CARE,5.5,6
3574661684284,LISTERINE 250ML MW SPEARMINT,1.8,6
4801010217305,LISTERINE 500ML M/W TOTAL CARE,2.75,6
9556006280065,LISTERINE 1 LITER M/W ORIGINAL,5.5,6
3574661684291,LISTERINE 250ML MW MILD & MINTY,1.8,6
8850007818069,LISTERINE 500ML M/W GREEN TEA MILD,2.75,6
037000771128,SCOPE 33.8Z 2pk MW OUTLAST MINT,6.6,3
030772236840,SCOPE 8.4z M/W ORIG CLN MINT,1.25,12
030772157084,BOUNTY 12=24 82sht SAS PAPER TOWEL,1.9,12
030772201565,BOUNTY PLUS 91sht 12RL SAS PPR TWL,1.85,12
036000374575,KLEENEX 230CT 2 PLY FACIAL TISSUE,2.4,10
037000772514,PUFFS ULTRA 48CT 2PLY FACIAL TISSUE,1.1,24
030772110959,BOUNTY ESSNTL 6RL SAS 108SHT PP TWL,8.0,1
3034250007813,KLEENEX 12PK ORGINAL POCKET TISSUE,1.8,24
5029053560762,KLEENEX 8PK 9CT POCKET TISSUE(24),1.2,24
054000123344,SCOTT 1000 SHT 36 ROLL BATH TISSUE,30.6,1
061328801366,SCOTTIES 6PK TISSUE 126 SHEET 2-PLY,7.2,8
061328802172,SCOTTIES 9PK TISSUE 100 SHEET 2-PLY,10.8,4
023400459018,COMABT 6CT .21z ANT BAIT STATION,1.2,12
023400419135,COMBAT 8CT LARGE ROACH BAIT STAIO,4.25,12
019200783576,DCON 2PK MOUSE TRAP NO VIEW NO TCH,3.25,8
