Item,SKU,UPC,Unit Cost,Case Size
Oxi Clean/Laundry/Stain Remover Spray/8/21.5/oz,57037-51696,757037516935,2.935,8
Zote/Laundry Bar Soap/White/25/14.11/oz,12005-00573,012005005737,1.5676,25
Oxi Clean/Powder/Versatile Stain Remover/4/48/oz,57037-51523,757037515235,6.8275,4
Downy/Ultra Liquid/April Fresh/4/88/oz,30772-10052,030772100523,6.8275,4
Downy/Ultra Fabric Softener/April Fresh/12/10/oz,37000-52401,037000524014,1.065,12
Gain/Fabric Sheets/Original/15/15/ct,37000-95861,037000958611,1.0,15
Downy/Beads/Unstopables Lush/4/9.1/oz,30772-08735,030772087350,4.7225,4
Gain/Beads/Fireworks Super Fresh Blast/4/12.2/oz,30772-09562,030772095621,6.8275,4
Gain/Beads/+Odor Defense Super Fresh Blast/4/30.1/oz,30772-14514,030772145142,12.6125,4
Gain/Liquid Fabric Softner/Sunflower Fresh/4/50/oz,30772-00801,030772008010,3.8725,4
Downy//Exotico Intense 730ml/9/24.7/oz,500435-253977,7500435254120,2.3033,9
Purex/Beads/Crystals Fabulously Fresh/4/21/oz,24200-03814,024200038137,2.735,4
Suavitel/Dryer Sheets/Morning Sun/6/70/ct,35000-39375,035000393753,2.9167,6
Downy//Sunrise Intense 730ml/9/24.7/oz,500435-160985,7500435160988,2.3033,9
Gain/Fabric Softener/Original 12 Load/12/10/oz,37000-98092,037000980926,1.0167,12
Suavitel/Fabric Softner/Anochecer (Dark Blue) 700ml/12/23.67/oz,09546-68011,7509546680118,1.8833,12
Downy/Ultra/Cool Cotton/6/44/oz,30772-10040,030772100400,6.0967,6
Suavitel/Dryer Sheets/Complete Field Of Flowers/12/36/ct,35000-96968,035000969682,1.6658,12
Gain/Fabric Sheets/Original Fresh/12/34/ct,37000-88905,037000823650,2.0417,12
Downy//Baby Pampers Scent 730ml/9/24.7/oz,500435-254073,7500435254076,2.3033,9
Kirkland Signature/Liquid Fabric Softener/Ultra Fresh Spring Fresh wPump/2/187/oz,96633-95928,196633959287,13.665,2
Downy//Pureza Silvestre Intense 730ml/9/24.7/oz,500435-255964,7500435255967,2.3033,9
Downy/Liquid Fabric Softener/Fresh Non-Concentrated Lavender Dream/4/125/oz,30772-00799,030772007990,9.245,4
Gain/Beads/Fireworks Original/4/9.1/oz,30772-08895,030772088951,4.7225,4
Downy/Ultra/April Fresh/6/44/oz,30772-10033,030772100332,6.0967,6
Downy/Beads/Unstopables Fresh/4/12.2/oz,30772-09570,030772095706,7.8875,4
Suavitel/Fabric Softener/Field Flowers/12/25/oz,27854-00957,827854009573,2.2233,12
Downy//Romance 750ml/9/25/oz,750043-512600,7500435126014,2.3033,9
Bounce/Fabric Sheets/Outdoor Fresh/15/15/ct,37000-95860,037000958604,1.016,15
Downy//Passion 750ml/9/25/oz,750043-512597,7500435125987,2.3033,9
Downy//Elegance 750ml/9/25/oz,750043-512603,7500435126045,2.3033,9
Suavitel/Dryer Sheets/Field Of Flowers/6/70/ct,35000-47299,035000472991,2.9167,6
Suavitel/Fabric Softener/Advanced Field Flowers Blue/4/160/oz,35000-96940,035000969408,12.0875,4
Suavitel/Fabric Softener/Fresca Primavera Daily Care (Blue) 8.5lt/2/287/oz,509546-067124,7509546067124,15.775,2
Downy//Aroma Floral 360ml/12/12/oz,750043-512748,7500435127486,1.2625,12
Gain/Fabric Sheets/Moonlight Breeze/12/34/ct,30772-14258,030772142585,2.0417,12
Downy/Beads/Unstopables Fresh/6/3.3/oz,30772-14304,030772143049,2.0833,6
Downy//Floral Intense 730ml/9/24.7/oz,500435-253953,7500435254137,2.3033,9
Suavitel/Fabric Softener/Fresh Breeze Odor Shield/6/46/oz,27854-01446,827854014461,3.145,6
Suavitel/Fabric Softener/Green Apple/4/105/oz,27854-02486,827854024866,8.3925,4
Downy/Ultra/April Fresh 251 ld/4/147/oz,30772-15026,030772150269,15.78,4
Downy/Fabric Softener/Soft Iris Bouquet 60ld/6/44/oz,30772-18361,030772183618,6.0967,6
Suavitel/Liquid/Dailycare Soothing Lavender/12/10.5/oz,27854-02564,827854025641,0.69,12
Suavitel/Dryer Sheets/Morning Sun/15/18/ct,35000-98011,035000980113,0.908,15
Downy/Liquid Fabric Softener/Fresh Sweet Summer/4/50/oz,30772-01098,030772010983,3.865,4
Suavitel/Dryer Sheets/Lavender/15/18/ct,35000-98031,035000980311,0.908,15
Suavitel/Fabric Softener/Morning Sun/4/105/oz,27854-00907,827854009078,8.3925,4
Suavitel/Fabric Softener/Green Apple/12/13.5/oz,27854-02447,827854024477,0.915,12
Suavitel/Fabric Softener/Field Flowers/4/105/oz,27854-00894,827854008941,8.3925,4
Downy/Ultra/Gentle Soft + Fresh 66lds/6/44/oz,30772-19496,030772194966,6.0967,6
Dreft/Beads/Blissfuls Baby Fresh/4/13.4/oz,30772-08499,030772084991,6.8275,4
Suavitel/Fabric Softener/Shed Shield Fresh/12/10.5/oz,27854-01465,827854014652,0.69,12
Downy/Liquid Fabric Softener/Fresh Lavender Dream/4/50/oz,30772-00797,030772007976,3.865,4
Suavitel/Fabric Softener/Field Flowers/6/46/oz,27854-00942,827854009429,3.3667,6
Downy/Beads/Seaside Spa 2 in 1/8/32.1/oz,30772-14600,030772146002,12.6125,8
Downy/Beads/Light White Lavender/4/13.4/oz,30772-08781,030772087817,6.8275,4
Suavitel/Fabric Softener/Field Flower/12/13.5/oz,27854-02430,827854024309,0.915,12
Suavitel/Dryer Sheets/Field Flower/15/20/ct,35000-39197,035000391971,0.908,15
Suavitel/Fabric Softener/Complete Waterfall Mist/12/10.5/oz,27854-00952,827854009528,0.69,12
Downy/Beads/Love in Paris/4/7.8/oz,30772-19101,030772191019,3.9875,4
Suavitel/Fabric Softener/Complete Soothing Lavender/4/100/oz,27854-00900,827854009009,8.3925,4
Downy/Beads/BLISS Sparkling Amber and Rose/4/18.2/oz,30772-08758,030772087589,8.195,4
Suavitel/Fabric Softener/Field Flowers/12/25/oz,27854-00816,827854008163,2.2233,12
Downy/Beads/Balance Crisp Rain & Blue Eucalyptus/4/7.8/oz,30772-09172,030772091722,3.9875,4
Downy/Beads/Cool Cotton/4/13.4/oz,30772-09082,030772090824,6.8275,4
Downy/Beads/Unstopables Paradise/4/13.4/oz,30772-15603,030772156032,6.8275,4
Scotch Brite/Scrub Pad/Copper Coated/8/3/pk,51141-40685,051141233529,1.8413,8
Brillo//Strip & Shine/24/6/ct,70881-23306,070881233064,1.1571,24
Brillo/Soap Pads/Lemon/12/10/ct,70881-23320,070881233200,2.4092,12
Scotch Brite/Scrub Sponge/Heavy Duty/15/24/ct,76308-42030,021200420307000003,11.3613,15
Brillo/Soap Pads//12/4/ct,70881-53304,070881533041,1.21,12
S.O.S/Heavy Duty Sponge//8/3/ct,41294-91029,041294910293,2.7088,8
S.O.S./Heavy Duty Scrubber Sponge//12/1/ct,41294-91016,04129486,1.0367,12
S.O.S./All Surface Scrubber Sponge//12/1/ct,41294-91017,04129479,1.0367,12
S.O.S/All Surface Scrubber Sponge//8/3/ct,41294-91028,041294910286,2.7088,8
Scotch Brite/Scrub Sponge Floor Stand/36 Heavy Duty 30 Multi Purpose/66/3/pk,21200-52215,021200572357598463,2.4673,66
Ditto/Scrub Sponge/Non Scratch/10/6/pk,14367-35294,714367352930,2.25,10
Scotch Brite/Scrub Sponge/Non Scratch/8/3/pk,51141-40666,021200598463,2.7612,8
Scotch Brite/Scrub Sponge/Delicate Care/8/3/pk,51141-40665,021200513152,2.7612,8
S.O.S./Soap Pads/Regular/6/10/ct,67029-01346,067029931012,1.735,6
Ditto/Scrub Sponge/Heavy Duty/20/3/pk,14367-35292,714367352916,1.33,20
Ditto/Scrub Sponge/Gentle/20/3/pk,14367-35421,714367354224,1.33,20
Ditto/Scrub Sponge/Heavy Duty/10/6/pk,14367-35296,714367352954,2.25,10
Pledge/Spray/Multi Surface Classic/12/8.45/oz,000204-689211,5000204689204,2.2775,12
Scrubbing Bubbles/Bathroom Cleaner Spray/Heavy Duty Rainshower/12/25/oz,25700-00476,025700004769,3.6125,12
WD-40/Aerosol/Smart Straw/12/8/oz,79567-49002,079567490029,5.815,12
Spray n' Wash/Trigger/Laundry Pre-Treated Trigger/12/22/oz,62338-00230,062338002309,2.0933,12
The Pink Stuff/Disinfectant Cleaner Trigger//12/28.7/oz,506003-382215,5060033822142,2.6292,12
Lysol/Multi Cleaner/Power & Free Citrus Trigger/9/32/oz,19200-89289,019200892896,3.4156,9
"Kaboom/Trigger/Shower, Tub & Tile Cleaner WOxiclean/8/32/oz",57037-00053,757037000533,5.1938,8
Clorox/All Purpose Cleaner/Spring Garden/9/32/oz,44600-60820,044600608204,3.3556,9
Comet/Bathroom Cleaner Spray/Fresh Lemon/9/32/oz,10003-44097,810003440976,3.5244,9
Clorox/All Purpose Cleaner/Fresh Mountain Air/9/32/oz,44600-60821,044600608211,3.3556,9
Oxi Clean/Trigger/No Drip Foam Mold & Mildew/8/30/oz,57037-54751,757037547519,3.7875,8
Pledge/Spray/Wood Oil Amber Argan/12/8.45/oz,000204-011258,5000204011265,2.2775,12
Clorox/Disinfecting All Purpose/Crisp Lemon/9/32/oz,44600-60044,044600600444,3.8922,9
Clorox/Multi Surface Spray/Scentiva Pacific Breeze & Coconut/9/32/oz,44600-60521,044600317748,4.4489,9
Fantastik/WScrubbing Bubbles/Max Kitchen Degreaser/8/32/oz,54600-71650,054600716502,3.2088,8
Pledge/Spray/Multi Surface 5 in 1 Clean Jasmine/12/8.45/oz,000204-68930,5000204689297,2.2775,12
Lysol/All Purpose Cleaner Trigger/Mango & Hibiscus/9/32/oz,19200-98769,019200987721,3.7633,9
Glass Plus/Trigger/Glass/9/32/oz,19200-89331,019200893312,2.0922,9
Clorox/Bathroom Bleach Foamer/Lemon/9/30/oz,44600-31706,044600317069,4.5822,9
Lysol/All Purpose Cleaner/Trigger Brand New Day Lavender & Cotton Blossom/9/32/oz,19200-00006,019200000062,3.4611,9
Clorox/Multi Surface Spray/Scentiva Tuscan Lavender Jasmine/9/32/oz,44600-60523,044600313870,4.4489,9
Pledge/Furniture Polish/Lemon/6/14.2/oz,46500-00258,046500002588,5.1933,6
WD-40/Aerosol//12/2.75/oz,79567-49035,079567490357,3.3575,12
Shumanit/Oven Cleaner/Cold Grease Remover/10/25.4/oz,29003-39500,729003395004,6.406,10
Fantastik/All Purpose Cleaner/Lemon/8/32/oz,54600-71630,054600003350,3.2088,8
Lysol/All Purpose Cleaner/Lemon Trigger/12/32/oz,19200-75352,019200753524,3.5767,12
Clorox/Multi Surface Spray/Scentiva Tahitian Grapefruit Splash/9/32/oz,44600-60522,044600323688,4.4489,9
Tilex/Trigger/Fresh Shower/9/32/oz,44600-01299,044600012605,3.39,9
Lysol/Bathroom Cleaner/Regular Aerosol/12/24/oz,19200-02569,019200025690,2.84,12
Clorox/Green Works All Purpose/Trigger/9/32/oz,55500-55868,055500010646,3.8567,9
Formula 409/All Purpose Cleaner/Regular/9/32/oz,44600-31220,044600008899,3.6333,9
Lysol/All Purpose Cleaner/W-Bleach Trigger/12/32/oz,19200-78914,019200789141,3.6817,12
Fantastik/MutiSurface Disinfectant/Degreaser/8/32/oz,54600-00032,054600000328,3.2088,8
Windex/Trigger/Multi Surface/8/32/oz,19800-00314,019800708849,3.6825,8
Fantastik/All Purpose Cleaner/Max Power/8/32/oz,54600-00038,054600000380,3.2088,8
Clorox/Bathroom/Bleach Foamer Spray/9/30/oz,44600-30614,044600306148,3.8567,9
Lysol/Bathroom Cleaner/Power Trigger/12/32/oz,19200-02699,019200026994,3.4192,12
Clorox//Bleach Gel Spray/9/30/oz,44600-30970,044600309705,4.5922,9
Fantastik/All Purpose Cleaner/Bleach/8/32/oz,54600-71631,054600105689,3.2088,8
Clorox/Clean-Up/Trigger Fresh Scent/9/32/oz,44600-30197,044600300580,4.4178,9
Clorox/Bathroom/Disinfecting Cleaner Spray/9/30/oz,44600-08033,044600080338,3.8567,9
Fantastik/All Purpose Cleaner/Fresh Scent/8/32/oz,54600-71629,054600002865,3.2088,8
Easy Off/Oven Cleaner/Fume Free/12/14.2/oz,62200-00394,062200003946,2.98,12
Febreze/Fabric Refresher/Downy April Fresh/8/14.8/oz,30772-08936,030772089361,3.5213,8
Tilex/Mold & Mildew Remover//9/32/oz,44600-01234,044600011950,5.4778,9
Clorox/Disinfecting Mist Refill Multi Surface/Lemongrass Mandarin/6/10/oz,44600-60159,044600601595,0.69,6
Clorox/Clean-Up/Trigger WBleach/9/32/oz,44600-31221,044600012049,4.4178,9
Easy-Off/Oven Cleaner/Regular/12/16/oz,62200-00398,062200004004,2.98,12
Windex/Trigger/Regular/8/32.5/oz,19800-00309,019800707651,3.6825,8
Ferrero Rocher/Chocolate Bar/Hazelnut/16/3.1/oz,09800-12526,009800125104125265,3.1594,16
Ferrero Rocher/Chocolate Bar/Dark Hazelnut/16/3.1/oz,09800-12527,009800125272125111,3.1594,16
Ferrero Rocher/Chocolate/ 12pk/12/5.3/oz,09800-12122,009800000715,6.1192,12
Ferrero Collection/Chocolate/Gift Box 12pk/12/4.6/oz,09800-20127,009800200412,6.1192,12
Ferrero Rocher/Chocolate Bar/White Hazelnut/16/3.1/oz,09800-12528,009800125289125128,3.1594,16
Ferrero Collection/Chocolate/Diamond Gift Box 24pk/6/9.1/oz,09800-20148,009800200511,13.8183,6
Ferrero Raffaello/Chocolate/Ballotin Box 15pk/6/5.3/oz,09800-14115,009800145010,6.1183,6
Ferrero Rocher/Chocolate Counter Display/Sidekick 3pk/36/1.3/oz,09800-12364,009800123018,1.6283,36
Ferrero Rocher/Chocolate Bar/Dark Hazelnut & Crunchy Salted Caramel/16/3.1/oz,09800-12530,009800125142125302,3.1594,16
Ferrero Rocher/Chocolate Bar/Macadamia & Hazelnut/16/3.1/oz,09800-12549,009800125203,3.1594,16
Ferrero Raffaello/Chocolate/Tin Gift Box/8/30/ct,09800-14207,009800142071,14.105,8
Fresh Step/Cat Litter/Regular/6/7/lb,44600-02001,044600020013,3.715,6
Fresh Step/Cat Litter/Multiple Cat/1/25/lb,44600-30468,044600304687,8.93,1
Post/Honey Bunches of Oats/Almonds/12/18/oz,84912-00248,884912014276,3.0592,12
"Superior/Kosher Salt ""Box""//6/48/oz",52010-00018,652010000183,3.0017,6
Golden Blossom//Honey/12/24/oz,73260-00008,07326840,10.6508,12
Golden Blossom//Honey/12/16/oz,73260-00007,07326743,7.5175,12
Arm & Hammer/Baking Soda/Fridge-n-Freezer/12/14/oz,33200-00020,033200000204,1.1333,12
Nutella/Hazelnut Spread//12/26.5/oz,09800-89525,009800895250,7.5633,12
Nutella/Hazelnut Spread//15/13/oz,09800-89371,009800895007,4.934,15
Arm & Hammer/Baking Soda//24/8/oz,33200-01130,033200011309,0.4946,24
Hellmans/Mayo/Regular/10/30/oz,68400-21752,068400662600,4.6,10
Ensure/Original Nutrition Shake/Vanilla/24/8/oz,70074-68050,070074407111,1.4229,24
Tang/Powder/Orange/6/78/oz,66188-05759,066188057502,6.79,6
Bustelo/Coffee/Brick 4pk/6/10/oz,74471-01721,074471017218,23.96,6
Swiss Miss/Hot Cocoa/Dark Chocolate Sensation 8pk/12/1.25/oz,70920-48510,015700051443,1.5783,12
Swiss Miss/Hot Cocoa/Marshmallow/12/26/oz,015700-005232,015700052303,2.6192,12
Bustelo/Coffee/Brick/24/10/oz,74471-01720,074471017201,6.175,24
Swiss Miss/Hot Cocoa/Milk Chocolate/12/26/oz,001570-005230,015700052327,2.6192,12
Tasters Choice/Coffee Instant/French Roast/4/7/oz,28000-32377,028000553609,12.0875,4
Swiss Miss/Hot Cocoa/Marshmallow 10pk/12/1/oz,15700-05002,015700050026,1.5783,12
Swiss Miss/Hot Cocoa/Rich Chocolate 10pk/12/1/oz,70920-48511,015700052013,1.5783,12
Tasters Choice/Coffee Instant/House Blend/4/7/oz,28000-24618,028000593933,12.0875,4
Swiss Miss/Hot Cocoa/Milk Chocolate 10pk/12/1/oz,15700-05008,015700050088,1.5783,12
Tasters Choice//Original House Blend/12/14/oz,28000-74307,028000743079,19.4508,12
Nescafe/Coffee/Original 200gr/12/7/oz,91000-03006,7891000300602,5.49,12
Mazola/Oil/Corn/6/96/oz,61720-19212,761720192122,9.415,6
Mazola//Corn Oil/6/128/oz,61720-05820,761720058206,12.4983,6
Popfully/Microwave Popcorn/Kettle 3pk/12/2.82/oz,15440-01006,815440013554,1.3675,12
Popfully/Microwave Popcorn/Movie Theater Butter 3pk/12/2.82/oz,15440-01008,815440013578,1.3675,12
Popfully/Microwave Popcorn/Butter 3pk/12/2.82/oz,15440-01002,815440013516,1.3675,12
Popfully/Microwave Popcorn/Sea Salt 3pk/12/2.82/oz,15440-01011,815440013608,1.3675,12
Q-Tips/Family Size//12/500/ct,05210-08600,305215007005,3.6717,12
Q-Tips/Purse Pack//36/30/ct,05210-22127,305210221277,1.315,36
Q-Tips///24/170/ct,10170-14026,305215070009,1.9775,24
"EcoTools/Loofah/Gentle Cleansing Red, White & Blue/24/1/ct",79625-45265,079625452655,0.5258,24
EcoTools/Loofah/Gentle Cleansing Soccer Ball/24/1/ct,79625-45270,079625452709,0.5258,24
Purell/Hand Sanitizer/Refreshing Gel Hang Tag Flip Cap/12/2/oz,73852-04606,073852046069,1.6833,12
EcoTools/Loofah/Gentle Cleansing Pink/24/1/ct,79625-44478,079625439151,0.5258,24
EcoTools/Loofah/Gentle Cleansing Navy Blue/24/1/ct,79625-45234,079625452341,0.5258,24
