Item,SKU,UPC,Unit Cost,Case Size
Pop-tart protein frosted blueberry 8ct 14...,FOOD042248,038000331466,2.35,12
Nutri-grain breakfast bars assorted 48ct ...,FOOD042244,038000350016,10.20,3
Rice krispies treats homestyle bars 6ct 6...,FOOD042243,38000253775,1.90,48
Our table 9.5in pie plate - ceramic white ni,HSWE041394,444800407018,2.50,4
Crockpot 5.6qt bakeware - red stoneware ni,BAKE042040,085081475800,19.00,2
"Promoted to grandpa sign 4""x4""",HSWE032383,672649158673,0.30,40
"52x90"" printed vinyl tablecloth'",HSWE040488,850023387110,2.00,24
"'60x84"" printed vinyl tablecloth",HSWE040505,850023387134,1.65,24
13x9 cake pan with cover,BAKE041342,076753534819,4.25,12
"52x70"" printed vinyl tablecloth.",HSWE040496,850023387103,1.65,24
"52x70"" printed vinyl tablecloth",HSWE040495,850023387141,1.65,24
2pk aluminum poultry pan,HSWE042090,032251561399,1.35,12
Mccormick prepak ground cloves 0.9 oz bb ...,FOOD041456,05223310,0.25,48
Gibson home highberry 11in non-stick chic...,HSWE040237,085081509703,8.50,4
"3pc cast iron skillet set - 6in, 8in & 10...",HSWE041685,085081531643,19.00,4
Gibson aventura 3pc frying pan set - blac...,HSWE040236,085081146823,8.50,6
Oster 2l tea kettle - red ni,HSWE041835,085081687456,12.00,6
Hefty 20ct cups - 18oz strawberry print ni,HSWE041795,013700216510,2.50,12
24oz tumblers - asst colors in pdq (80ct),HSWE042330,076753291057,0.55,80
Colgate toothpaste optic white renewal hi...,BEAU041934,827854012009,4.25,24
Conair porcupine paddle hairbrush orange ni,BEAU041889,074108954206,3.00,24
Conair scunci hair elastics rainbow 34ct ni,BEAU041875,043194162642,0.60,48
Conair scunci hair elastics blonde 28ct ni,BEAU041874,043194201112,0.60,48
Conair scunci knotted hair elastics 6ct ni,BEAU041871,043194334650,0.60,48
Conair hair elastics black 60ct ni,BEAU041866,074108493446,1.20,48
Conair hair elastics 60ct ni,BEAU041872,074108493453,1.25,48
Crockpot 5.6qt bakeware - teal stoneware ni,BAKE041339,085081454898,19.00,2
Crockpot 2pc soup bowl - red stoneware ni,HSWE041337,085081466471,8.00,4
Sp windex refill 128oz-steak free shine o...,CLEA037996,019800003005,10.00,4
Jumbo pizza cutter,HSWE041798,076753201803,1.65,72
2ct greenpan essentials 8'' & 10'' frypan...,HSWE041921,885837044102,15.00,4
2ct greenpan essentials 8'' & 10'' frypan...,HSWE041920,885837044096,15.00,4
Greenpan platinum flat silicone whisk - g...,HSWE041914,885837040357,3.75,48
Pink diamond 12'' frypan w/ lid - pink ni,HSWE041918,885837046793,18.00,2
Method gel hand wash vetiver amber refill...,BEAU041780,843536110559,3.50,4
Freshly ground white pepper 3 oz bb 9/20/28,FOOD040074,6281063882169,1.00,12
Off adults & kids aerosol insect repellen...,PEST042084,197981004452,7.00,6
Sp turtle wax all surface cleaner 23oz ne...,AUTO041965,074660507698,3.00,10
Sp turtle wax detailing clay mitt,AUTO041957,614070283609,6.00,12
Sp turtle wax graphene infused to the max...,AUTO041959,074660537206,3.00,6
Glade wax melts embers & sandalwood 3.1oz us,CLEA041746,197981000911,1.00,8
Sp turtle wax speed headlight lens restor...,AUTO041924,074660534359,2.00,6
Sp turtle wax quick detailer 23 oz,AUTO041926,074660542842,4.00,6
Off mixed aerosol sidekick ppk,PEST040469,046500037627,3.50,36
Babyganics 3x laundry detergent fragrance...,CLEA042183,813277015192,6.50,1
Rite aid children's ibuprofen pain reliev...,HEAL040763,011822420822,0.40,48
Sp turtle wax odor-x 59ml kinetic new car...,AUTO041993,074660507087,2.00,22
"Disney pixar lightyear core 5"" figure ass...",TOYS042133,194735069293,1.00,6
Sp turtle wax inside & outside ceramic de...,AUTO041969,074660543825,3.00,6
Sp wax shop snow foam car wash 128oz-cherry,AUTO041923,074660508862,7.00,4
"Multipet loofa w/bandana (red, blue) dog ...",PETS041853,784369527643,2.00,12
"Multipet paw town lambchop dog toy 6""",PETS040425,011822001861,1.25,72
Tablecloth -  52 x 52 island palm printed,HSWE039990,738215545138,2.15,12
Collapsible silicone steamer ni,HSWE040994,067742291318,1.00,72
Spice trend fennel seed .65 oz bb 5/15/26,FOOD038707,05207817,0.10,72
Sp off!  insect repellent 9oz clean feel,PEST041829,046500045042,4.50,12
"Coffee mat 12x18""-asst prints/colors",HSWE013203,044712040626,1.20,48
"Dish drying mat 12x18""-asst colors",HSWE013204,044712040152,1.20,72
Multipet pet envy rainbow fish cat toy,PETS041848,784369573336,0.60,144
"Marvel: titan hero tech - 12"" captain ame...",TOYS041930,630509280735,5.00,4
3pk aluminum loaf pan,HSWE042088,603430746946,1.00,12
Rite aid finger sleeve 12ct,HEAL042025,011822139496,0.25,48
Flex head hydro blue hairbrush-ni,BEAU009765,074108955104,2.40,24
"Rite aid finger splint,2 pk",HEAL042027,011822553544,0.30,72
Heavy duty bandages assorted 30ct,HEAL041990,32251986864,0.65,24
Clear bandages 30ct,HEAL042028,032251986932,0.45,24
Bandages finger and knuckle 20ct,HEAL042026,032251986871,0.45,24
Rite aid children's ibuprofen pain reliev...,HEAL040757,011822520119,0.30,24
Rite aid children's allergy relief bubble...,HEAL040761,011822420570,0.25,24
Greenlife cutting board set - 8x12'' & 10...,HSWE041963,885837015980,4.00,20
Greenlife cutting board set - 8x12'' & 10...,HSWE041913,885837023831,4.00,20
Greenlife cutting board set - 8x12'' & 10...,HSWE041912,885837035995,4.00,20
Greenlife cutting board set - 8x12'' & 10...,HSWE041911,885837035988,4.00,20
"18x120"" beige shelf liner",HSWE040530,850023387363,5.00,12
Cheez-it original cups 2.2 oz tray ni bb ...,FOOD042002,024100127788,0.70,10
Cheez-it snap'd cheddar sour cream & onio...,FOOD042000,024100114870,1.80,6
Just for men shampoo color preserve & str...,BEAU041723,011509049711,1.25,24
Sp marvel air tool oil 32oz,AUTO039605,077874100853,4.37,6
Nhl arizona coyotes hockey puck dog toy ni,PETS041605,849790187795,1.50,36
Nhl arizona coyotes hockey stick dog toy ni,PETS041604,849790187863,2.25,36
Nhl  st.louis blues peanut bag dog toy ni,PETS041589,849790187832,1.00,36
3pc cheese serving set,HSWE041806,076753102322,5.50,36
12in tongs,HSWE041801,076753258777,0.80,144
10in rolling pin,HSWE041800,076753213004,2.75,6
Good cook sifter,HSWE041799,076753206068,4.50,36
Sp turtle wax mister cartoon lvp leather-...,AUTO039712,074660542552,3.00,10
18''x28'' set of 2 dishtowels - home is w...,HSWE039963,738215552365,1.65,48
Sp turtle wax mister cartoon interior & e...,AUTO039512,074660542583,3.60,6
Sp mister cartoon so fresh odor eliminati...,AUTO039515,074660542309,2.00,12
Sp turtle wax ceramic inside job 473ml /16oz,AUTO039504,074660537893,3.00,6
Sp. marvel mystery oil the original fuel ...,AUTO039498,077874000122,2.50,18
Sp turtle wax 16oz wax & dry,AUTO039713,074660508671,4.00,6
3cup sifter w/ crank,HSWE041805,076753043922,2.50,36
Cryopak reusable ice/hot pack 1ct(pp$3.00),HSWE041721,059245220025,0.80,12
2ct fridge odor absorber - lemon,CLEA041894,817192020422,1.00,6
Confetti 1ct foil starry night,ARTS041650,039938909222,0.25,144
2ct fridge odor absorber - vinegar,CLEA041893,817192020439,1.00,6
Hat child 8ct space blast,ARTS041641,039938113872,0.25,72
Mlb oakland athletics bat dog toy ni,PETS041613,849790188020,2.00,36
Nfl tennessee titans nylon football dog t...,PETS041607,849790188013,1.80,36
Nfl tennessee titans field dog toy ni,PETS041606,849790187993,2.00,36
Mlb oakland athletics nylon baseball rope...,PETS041614,849790188037,1.50,36
Nhl  st. louis blues hot dog dog toy ni,PETS041591,849790187849,1.25,36
Nhl  st.louis blues hamburger dog toy ni,PETS041590,849790187818,1.50,36
Nhl  st.louis blues bottle dog toy ni,PETS041588,849790187801,1.50,36
Nhl  st. louis blues dental tug dog toy ni,PETS041587,849790187924,2.25,36
Nhl  st.louis blues hockey puck dog toy ni,PETS041585,849790187825,1.50,36
Nhl  st.louis blues 3 pc cat nip toy set ni,PETS041592,849790187757,1.50,36
Wonder wedgie mop starter kit - mop. pole...,CLEA041797,861447000233,6.50,10
Ncaa michigan state helmet tough dog toy ni,PETS041612,849790187917,2.50,36
Nfl houston texans nylon football dog toy ni,PETS041611,849790187887,1.80,36
12in oster ns red frying pan - alum ni,HSWE041689,085081488152,12.00,12
12in all purpose pan w/ lid ns steel .7mm...,HSWE041398,085081509710,8.50,4
16pc flatware set - ss ni,HSWE041396,085081531629,4.00,8
16pc flatware set - ss ni,HSWE041395,085081518545,4.00,8
Oster 7in foldable colander w/ handle ni,HSWE041393,085081531834,1.65,8
Sponge caddy asst - ni,HSWE040992,067742970626,0.65,120
Dino freeze pop mold ni,HSWE040990,067742171504,0.65,48
2pc ic cream sundae cups ni,HSWE040997,067742217172,0.80,96
Orajel fast acting cold sore cream .125oz...,HEAL041727,310310384012,1.00,24
Glade wax melts balsam & spruce 3.1oz us,CLEA041745,197981000928,1.00,8
Glade automatic spray refill bourbon & ci...,CLEA041827,197981001192,2.40,6
Glade wax melts vanilla caramel twist 3.1...,CLEA041749,046500052743,1.00,8
Sp eylure pro magnetic manetic eyeliner &...,BEAU041715,619232007260,2.25,12
100 flex straws,HSWE041700,076753042598,0.70,144
Rayovac fusion aaa alkaline batteries (12...,ELEC041816,012800539956,4.90,24
Nhl  st. louis blues #1 fan dog toy ni,PETS041586,849790187771,1.50,36
Kitchen soap caddy ni,HSWE039865,714415713805,1.80,48
Chenille microfiber mop ni,CLEA039860,714415502690,2.50,6
Robitussin honey severe cold & flu nighti...,HEAL041724,300318770184,3.50,12
Glade wax melts malibu mango 3.1oz us,CLEA041748,046500052729,1.00,8
Ceramic salt and pepper shaker - mushrooms,HSWE039925,738215538437,1.10,48
Turtle wax fresh clean all surface cleane...,AUTO041545,074660543191,1.50,6
"7"" paper lunch plate 8ct 50th birthday burst",ARTS041628,039938718435,0.25,12
"7"" paper plate 8ct 30th birthday burst",ARTS041627,039938718398,0.25,12
Animal planet level 1 paperback bindup an...,BOOK041565,9781667201047,0.50,40
Discovery level 2 reader paperback-  i am...,BOOK041564,9781684127993,0.50,124
Spellbound 32pg paperback book & magnetic...,BOOK041562,9780794452537,2.00,10
Disney encanto hardcover storybook and pr...,BOOK041560,9780794448523,2.00,12
Spellbound find your light activity book ...,BOOK041563,9780794452551,0.60,48
Boneless motorized skater mia,TOYS040932,042409669167,1.20,6
Siren dart blaster 50pc refill darts,TOYS040930,042409119525,4.00,12
Glade candle tranquil lavender & aloe 2ct...,CAND041293,046500055171,2.75,3
Petmate cozy kennel mat reversible coolin...,PETS041171,029695810367,4.00,16
24pc press-on nails - vacay vibes ni,BEAU041508,889628152526,0.35,24
Disney princess royal nail set ni,BEAU041507,889628214217,1.25,24
Bluey 24oz. bubble bath ni,BEAU041505,889628184619,1.75,12
Sesame street 24oz. bubble bath ni,BEAU041506,889628184626,1.75,12
Siren dart blaster 20pc refill darts,TOYS040914,042409119518,1.50,12
Ronson jetlite butane lighter in pdq ni,HSWE041479,037900435113,3.00,96
Halls 80 pc blueberry bag exp 2/22/27,FOOD041540,312546006478,2.40,12
Boneless skaters skatepark playset - asso...,TOYS040909,042409669549,2.25,6
Boneless motorized skater luca,TOYS040925,042409669150,1.20,6
"Wubble slammers 3"" - assorted",TOYS040918,042409717530,3.50,6
Scrubbing bubbles toilet cleaning dispens...,CLEA041360,025700000174,4.50,6
Goody headband zigzag 3ct ni,BEAU041552,041457185001,1.00,36
Goody waffle scrunchie multi 6ct ni,BEAU041551,041457248614,0.85,72
Goody elastics 4mm black 15ct ni,BEAU041549,041457169179,0.40,48
Eveready super heavy duty aa battery 4 pa...,ELEC041523,039800040008,0.60,24
Smithsonian prehistoric sea monsters kit,TOYS040924,042409520413,3.00,4
Bob ross limited edition gift set,TOYS041511,634482192023,1.80,8
Guardians of the galaxy classic - groot l...,TOYS041512,634482387221,1.80,6
Quality choice quick action vapor inhaler...,HEAL041533,635515999855,0.65,48
Halls cough drops cherry 200 ct free 9 dr...,FOOD041682,312546621534,3.50,2
Cursive silicone wine cup 12.5oz,HSWE031912,672649291295,0.50,120
Disney pixar: lightyear - zap partol gear,TOYS041510,194735087051,1.80,3
Energizer 2016 3v lithium coin batteries ...,ELEC041522,039800066091,1.00,120
T-shirt - adult - navy- l,SOFT039561,752044020727,1.00,58
T-shirt - adult -white- 3xl,SOFT039117,752044020932,1.00,48
T-shirt - adult - navy- 2xl,SOFT039559,752044020741,1.00,77
T-shirt - adult - purple- l,SOFT039566,752044021021,1.00,60
Franklin future champs mini boxing set,SPOR040646,025725504220,10.00,6
"Nhl franklin 1020 power force youth 40"" h...",SPOR040666,025725216482,6.50,6
Conair french braid kit w/ bonus 25 hair ...,BEAU040264,074108556097,1.20,48
Siren maulr dart blaster,TOYS040916,042409119327,15.00,3
Stp gas treatment 12oz automotive additive,AUTO040689,071153001329,3.40,6
Stp fuel injector & carburetor cleaner 12 oz,AUTO040690,071153005150,3.00,6
Paas shimmer ice egg decorating kit shelf...,SEAS040296,071169386281,1.00,46
