Item,SKU,UPC,Unit Cost,Case Size
"ERA Oxibooster Liquid Laundry Detergent 26 Loads, 46 lf oz 72/pt 6/cs",72479,037000724797,0.9167,6
"Fabuloso Holiday Multi-Purpose Cleaner Limited Edition, Fresh Winter Mint Scent 33.8 oz 60/pt 12/cs",26396,827854026396,0.2292,12
Fabuloso Multi-Purpose Cleaner Lavender 56 oz 75/pt 6/cs,97758,035000977588,0.5,6
"Fabuloso Multi-Purpose Cleaner Lavender Scent, 28 oz 42/pt 12/cs",01491,827854014911,0.1917,12
"Fabuloso Multi-Purpose Cleaner W/Baking Soda, Citrus & Fruits Fresh 28 oz 42/pt 12/cs",14928,827854014928,0.1875,12
"Fabuloso Multi-Purpose Cleaner, Ocean & Paradise Scent 28 oz 42/pt 12/cs",53022,035000530226,0.1917,12
Fantastic Disinfectant Advanced Kitchen & Grease Cleaner 32oz 56/pt 8/cs,07165,054600716502,0.4062,8
Fantastic Disinfectant Multi- Purpose Cleaner Lemon Scent 32oz 56/pt 8/cs,00336,054600003350,0.4062,8
Fantastik Disinfectant Multi-Purpose Cleaner Fresh Scent 32 oz Spray Bottle 56/pt 8/cs,00286,054600002865,0.3563,8
"Febreze AIR Freshener, Linen & Sky 8.8 oz 55/pt 24/cs",96256-24,037000962564,0.125,24
Febreze Air Freshener - Downy April Fresh Scent - 8.8 fl oz 180/pt 6/cs,96258,037000962588,0.5583,6
Febreze Air Freshener - Hawaiian Aloha - 8.8 fl oz 6/cs,96260-6,037000962601,0.5417,6
Febreze Air Freshener - Hawaiian Aloha 2pk 8.1oz Each 180/pt 3/cs,13216,030772213216,1.0833,3
Febreze Air Freshener - Linen & Sky 2pk 8.1oz Each 180/pt 3/cs,20410,030772204108,1.0833,3
Febreze Air Freshener Mist Romance & Desire - 8.8oz 180/pt 6/cs,11230,030772101230,0.5583,6
Febreze Air Freshener Mist Summer Berry Picking - 8.8oz 180/pt 6/cs,11436,030772114360,0.5583,6
"Febreze Air Freshener Spray, Original Gain Scent, 8.8oz 180/plt 6/cs",96252,037000962526,0.5417,6
Febreze Air Freshener with Gain - Island Fresh Scent 8.8 oz 180/pt 6/cs,96253,037000962533,0.5417,6
Febreze air Mediterranean Lavander 8.8 oz 180/pt 6/cs,62649,037000962649,0.5417,6
Febreze Air Mist Air Freshener Spray Georgia Peach Orchard 2pk 8.8 oze ach 180/pt 3/cs,15732,030772115732,1.0667,3
Febreze Air Mist Air Freshener Spray Mediterranean Lavender Scent 2pk 8.8 oz each 180/pt 3/cs,77490-3,037000774907,1.0667,3
"Febreze Air Mist Air Freshener Spray Refresh & Energize, Rejuvenating Water Zesty Orange Blossom",01926,030772101926,1.0833,3
"Febreze Air Mist Air Freshener Spray Soothe & Restore, Whipped Warm Sugar Shea Butter Scent 2pk 8.8 oz",10193,030772101933,1.0833,3
Febreze Air Mist Air Freshener Spray Sweet Watermelon Vine 2pk 8.8 oze ach 180/pt 3/cs,11577,030772115770,1.0667,3
Febreze Air Mist Air Freshener Spray with Gain Moonlight Breeze Scent 2pk 8.8 oz each 180/pt 3/cs,97809-3,037000978091,1.0833,3
Febreze Air Mist Berry & Bramble 8.8oz 180/pt 6/cs,89960,037000899600,0.5583,6
Febreze Air Mist Georgia Peach Orchard - 8.8oz 180/pt 6/cs,14346,030772114346,0.5567,6
Febreze Air mist Refresh & Energize Zesty Orange Blossom 8.8oz 180/pt 6/cs,10124,030772101247,0.5417,6
Febreze Air Mist Serene Vanilla Sunrise Scent 8.8 oz Each 2pk 88/pt 6/cs,05943,030772059432,0.5417,6
Febreze Air Mist with Gain Original Scent 8.8 oz Each 2pk 180/pt 3/cs,97810-3,037000978107,1.0833,3
Febreze AUTO Air Freshener Vent Clip Cactus Flower Scent 2pk 0.07 ozE ach 320/pt 8/cs,11725,030772117255,0.4562,8
Febreze AUTO Air Freshener Vent Clip Evening Woods Scent 2pk 0.07 ozE ach 320/pt 8/cs,06919,030772069196,0.4562,8
Febreze AUTO Air Freshener Vent Clip Fresh 1ct 0.07 oz 416/pt 8/cs,77713,037000777137,0.2812,8
Febreze auto Air Freshener Vent Clip Leather Scent 2pk 0.07 oz Each 320/pt 8/cs,10358,030772010358,0.4562,8
