Item,SKU,UPC,Unit Cost,Case Size
Fabuloso Multi-Purpose Cleaner Spring Fresh 56 oz 75/pt 6/cs,98870,035000988706,0.5,6
"Cascade Advanced Power Dishwasher Detergent Gel, Fresh Scent 125oz 45/pt 4/cs",29674,037000296744,2.3125,4
"Cascade Complete Oxi Dishwasher Detergent, Fresh Scent 125oz 45/pt 4/cs",29680,037000296805,2.3125,4
Olay Body Wash 22oz Fresh Radiance Rose Water & Sweet Nectar 250/pt 4/cs,52387,037000523871,1.5625,4
Tide Simply + Oxi 10 Oz Refreshing Breeze Travel Size Laundry Detergent 100/pt 12/cs,66138,037000661382,0.125,12
"Crest + Scope Complete Whitening Toothpaste, Minty Fresh, 5.4 oz 64/plt 24/cs",85193-24,037000851936,0.1146,24
Shout Triple Acting Laundry Stain Remover Spray 22 oz 68/pt 8/cs,02251-8,046500022517,0.4062,8
Shout Triple Acting Laundry Stain Remover Liquid Refill 60 oz 50/pt 6/cs,02274-6,046500022746,0.975,6
"OFF! Family Care Smooth and Dry Insect Repellent Aerosol Powder Dry Formula, Bug Spray 6 oz 12/cs",72968,046500729683,0.3958,12
"Scotch Blue Painter's Tape, Multi-Surface Original 0.70 IN x 60 YD (18 mm x 54.8 m) 48/cs",03680,051115036804,0.0573,48
"Scotch Gift-Wrap Tape with Dispenser 3/4 IN x 650 IN (18 YD) 19 mm x 16,5 m. (12/12pk) 144/cs",65773-144,051131657731,0.0115,144
Command Mini Clear Hooks Holds 0.5 lb Damage Free Hanging 18 Hooks and 24 Strips 12/cs,34695,051141346953,0.4375,12
"Command Decorating Clips, Clear Hooks Holds Damage Free Hanging 20 Hooks and 24 Strips, (6/6pk)",34699,051141346991,0.0917,36
"Command Broom Gripper Holds 4 lb Damage Free Hanging, 1 Hooks and 2 Strips 12/cs",40947,051141409474,0.3542,12
Air Wick Plug In Scented Oil Starter Kit Warmer + 1 Refill 0.67oz Vanill and Pink Papaya 168/pt 4/cs,49112-4,062338491127,0.7125,4
"Air Wick Scented Oil Air Freshener, Fresh Waters - Twin Refills - 0.67oz Total 1.34 FL OZ 217/pt 6/cs",79717,062338797175,0.75,6
Air Wick Plug in Scented Oil Starter Kit (Warmer + 1 Refill 0.67oz) Fresh Linen 4/cs,85723-4,062338857237,0.775,4
