UPC,Description,Unit Cost,Qty
012587223055,GLAD 20CT 13GL FRCE FLX MAX DS CLRX,3.6,1
012587704417,GLAD 70sq PRESS N SEAL SEALING WRAP,3.0,1
012587792506,GLAD 8CT QURT FLX & SEAL STORAGE BG,0.55,1
874919003021,ROUND 1 40CT 13GL EASY TIE TRSH BAG,2.5,1
025700006435,ZIPLOC 100CT SANDWICH BAGS SEAL TOP,3.0,1
025700243076,ZIPLOC 30CT XL SANDWICH BAGS,2.5,1
025700711445,ZIPLOC 40CT SNACK BAGS,2.5,1
010900000406,REYNOLDS 25sq FT ALUMINUM FOIL,1.5,1
025700002406,SARAN 200SQ CLING PLASTIC WRAP,2.25,1
025700003304,ZIPLOC 24CT STRGE BAG 1QT SEAL TOP,2.5,1
025700711391,ZIPLOC 40CT SANDWICH BAGS,2.4,1
067140700702,ZIPLOC 90CT SANDWICH BAGS,3.6,1
025700711476,ZIPLOC 90CT SANDWICH BAGS SEAL TOP,3.0,1
810112510263,A&H 14z LIQ HAND SOAP FRSH RAIN PMP,1.2,1
815195015933,A&H 14z LIQ HAND SOAP LVDR VANL PMP,1.2,1
4000388177000,DOVE 250ML HAND WASH CARING ORIGNAL,1.35,1
859581006723,PEARS 8.41z HW YELLOW PURE & GENTLE,1.65,1
810112510621,A&H 14z LIQ HAND SOAP LEMON PMP,1.2,1
017000092706,DIAL 7.5z LIQ SOAP HMLYN SLT W/PMP,1.25,1
8901030736469,DOVE 8.45oz HAND WASH DEEPLY NRSHNG,1.35,1
030772153666,SAFEGUARD 10.1z HW COCONUT PMP,2.25,1
030772166345,SAFEGUARD 10.1z HW GARDEN PEAR PMP,2.25,1
030772153659,SAFEGUARD 10.1z HW SUN SEEKER PMP,2.25,1
827854013556,SOFTSOAP 11.25z LIQ SOAP SMR LMNDE,1.75,1
074182260125,SOFTSOAP 7.5oz SOOTHNG CLN ALOE VRA,1.25,1
074182270933,SOFTSOAP 7.5z LIQ SOAP FRSH BREEZE,1.25,1
030772153673,SAFEGUARD 10.1z HW OCEAN BREEZE PMP,2.25,1
827854020806,SOFTSOAP 11.25z LIQ SOAP MELON ICE,1.75,1
827854020790,SOFTSOAP 11.25z LIQ SOAP SMR LMNDE,1.75,1
074182268008,SOFTSOAP 7.5z LIQ SOAP AQUARIUM,1.25,1
074182290948,SOFTSOAP PUMP 7.5z MILK & HONEY(6),1.25,1
5060120165176,ARGAN OIL 3.38z HAND & NAIL CREAM,1.75,1
302993934578,CETAPHIL 10CT GNTL SKIN CLNSNG CLTH,1.2,1
5000207007159,CLEAN & CLEAR 100ML DUAL ACTN MSTRZ,2.88,1
5000207004981,CLEAN & CLEAR 200ML CLNSG LIQ LTN,2.75,1
5060120165022,ARGAN OIL 8.5z BODY BTTR W/MRCN OIL,1.75,1
305731342512,CHAPSTICK 3PK .15z ORG MSTRZ SPF12,1.65,1
5000207007425,CLEAN & CLEAR 150ML XFLT DAILY WASH,2.88,1
072140039929,COPPERTONE 1.7z SPF 60+ FACE BRIGHT,3.6,1
072140039936,COPPERTONE 1.7z SPF 60+ FACE HYDRTE,3.6,1
017000044286,DIAL 12z F/MEN LTN LURO SKIN ADVNCD,2.4,1
8901030960574,DOVE 13.5z LTN PAMPERING CARE,3.6,1
859581006839,DOVE 16.9z LTN REPLENSHING RITUAL,3.75,1
8901030755392,DOVE 2.53z MENS ULT HYDRA CREAM PDQ,1.1,1
834576008036,DERMASIL 14Z BODY LOTION DRY SKIN,1.65,1
8901030960604,DOVE 13.5z LTN ESSENTIAL CARE,3.6,1
859581006815,DOVE 16.9z LTN GLOWING RTL FLWRS,3.75,1
859581006808,DOVE 16.9z LTN RESTORING RITUAL,3.75,1
40883007,DOVE 300ML SILKY PMPRNG BODY CREAM,3.0,1
4000388563803,DOVE 400ML BODY LTN ESSENTIAL CARE,4.0,1
8886467020124,DOVE 75ML CRM RICH NOURISHMENT,1.1,1
011111028265,FIND UR HAPPY PLACE 20z SOAKIN SALT,1.2,1
814655043028,GLOBAL 30CT 4PK FRUIT ASST FCL WIPE,1.8,1
814655026458,GLOBAL BEAUTY 60CT WIPES CCNT OIL,1.65,1
8886467020094,DOVE 75ML BEAUTY CREAM PINK JAR,1.1,1
814655030776,FACIQUE 30CT 4PK ASST FACIAL WIPES,1.8,1
814655035115,GLOBAL 30CT 4PK ALOE ASST FCL WIPES,1.8,1
814655041710,GLOBAL 3X30CT FACE WIPE ASSTD,1.2,1
814655042823,GLOBAL BEAUTY 60CT WIPES GLOWING,1.65,1
814655041949,INTENSIV EYE 4X30CT FACE WIPE VIT C,1.8,1
019100109940,JERGENS 21oz LTN ORIGINAL W/ALMOND,6.4,1
019100109995,JERGENS 21oz LTN ULT HEALING,6.4,1
019100153912,JERGENS 600ML LTN ULT HEALING,4.8,1
022600019565,NAIR 40CT WAX STRIPS LEGS/BDY+WIPES,4.5,1
019100175556,JERGENS 21oz LTN DAILY MOISTURE,6.4,1
019100170773,JERGENS 21oz LTN SOOTHING ALOE,6.4,1
019100153882,JERGENS 600ML LTN ORIGINAL,4.8,1
623589020032,LOVU 300CT COOTON BALLS,1.2,1
030772170960,NATIVE 0.5z WHOLE BDY SENS CCNT&VAN,2.0,1
812154035414,NATIVE 1.7z FACIAL CCNT&VAN LTN,7.5,1
030772241882,NATIVE 12z DETOX BDY SCRB GUMDROP,5.0,1
3574661529219,NEUTROGENA 125ML CLR&SOOTHE TONER,2.5,1
4006000087016,NIVEA 13.5z LTN CHERRY BLSM W/PMP,4.25,1
4005808801046,NIVEA 150ml CREME TIN,2.5,1
812154035384,NATIVE 1.7z FACIAL VIT C SPF30 BRTN,7.5,1
812154037319,NATIVE 3z FACIAL SENS UNSCNT CLNSR,2.4,1
3574661529240,NEUTROGENA 200ML MICELLAR JELLY,3.6,1
4006000086996,NIVEA 13.5z LTN COCONUT W/PMP,4.25,1
072140801014,NIVEA 1z CREME PDQ DISPLAY,0.75,1
4005808867202,NIVEA 200ML TONER EXTRA BRIGHT 5N1,3.6,1
072140022105,NIVEA 33.8z LTN INTENSE HEAL W/PMP,9.75,1
4005900893659,NIVEA 400ML ENERGZNG MICELLAR WATER,3.0,1
8904256000109,NIVEA 400ML LTN COCOA NOURUISH PMP,4.25,1
8904256008198,NIVEA 600ML BDY LTN BODY MILK W/PMP,4.5,1
4005900759207,NIVEA 200ML TONER REFRESHING LOTUS,3.6,1
4005808685844,NIVEA 400ML CREME F/MEN REVITALISNG,4.5,1
8904256002578,NIVEA 400ML LTN ALOE HYDRTN W/PMP,4.25,1
4005808725298,NIVEA 400ML LTN NRSHNG BDY MLK PMP,4.25,1
8904256009850,NIVEA 600ML BDY LTN SHEA SMTH W/PMP,4.5,1
4006000034027,NIVEA 625ML BODY LTN ALOE W/PUMP,4.5,1
814655034118,NOBELMAN 3PK 30CT ASST ACTIVE WIPES,1.2,1
030772149300,OLAY 11z MINERAL SCRUB GUAVA CCNT,6.0,1
075609217463,OLAY 17z BDY LOTION BERRY BUBBLY,7.0,1
075609215339,OLAY 17z DARK SPOT BDY LTN W/PMP,6.5,1
8412300801072,NIVEA CREME 400ML TIN 24/CS.,4.5,1
087300560090,NOXZEMA 2z ORG CLASSIC CLNSG CREAM,1.5,1
075609210624,OLAY 12CT CLSNG MELTS FCL CLNSR PAD,1.8,1
075609201042,OLAY 17z COLLGN PEPTDE BDY LTN PMP,6.5,1
075609201035,OLAY 17z HYALURONIC BDY LTN W/PMP,6.5,1
075609206573,OLAY 17z NIACINAMIDE BDY LTN W/PMP,6.5,1
075609211560,OLAY 18z LTN GLOW W/ROSE WATER,6.0,1
